Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
Richard Bach	 Richard David Bach	23-Jun	Oak Park, IL					 Male			 Straight	 Author		 United States	Jonathan Livingston Seagull	Stranger to the Ground|Biplane|Nothing by Chance|Jonathan Livingston Seagull|A Gift of Wings|There's No Such Place as Far Away|Illusions: The Adventures of a Reluctant Messiah|The Bridge Across Forever: A Love Story|One|Running from Safety|Out of My Mind|Curious Lives: Adventures from the Ferret Chronicles
Delia Bacon	 Delia Salter Bacon	2-Feb	Tallmadge, OH	2-Sep	Tallmadge, OH	 unspecified	 Buried, 	 Female				 Author		 United States	 Shakespeare-Bacon conspiracist	Tales of the Puritans|The Philosophy of the Plays of Shakespeare Unfolded|The Bride of Fort Edward
Deborah Baker		28-Mar	Charlottesville, VA					 Female			 Straight	 Author	http://www.deborahbaker.net/	 United States	In Extremis: The Life of Laura Riding	Making a Farm: The Life of Robert Bly|In Extremis: The Life of Laura Riding|A Blue Hand: The Beats in India|The Convert: A Tale of Exile and Extremism
Nicholson Baker		7-Jan	New York City					 Male			 Straight	 Author		 United States	Double Fold	The Mezzanine|Room Temperature|U and I: A True Story|Vox: A Novel|The Fermata|The Size of Thoughts: Essays and Other Lumber|The Everlasting Story of Nory|Double Fold: Libraries and the Assault on Paper|A Box of Matches|Checkpoint|The World on Sunday: Graphic Art in Joseph Pulitzer's Newspaper (1898–1911)|Human Smoke: The Beginnings of World War II, the End of Civilization|The Anthologist
Russell Baker	 Russell Wayne Baker	14-Aug	 Morrisonville, VA					 Male			 Straight	 Author, 		 United States	Growing Up	An American in Washington|No Cause for Panic|Poor Russell's Almanac|So This Is Depravity|Growing Up|The Good Times
Stephen Baker	 Stephen L. Baker	15-Nov	Bryn Mawr, PA					 Male			 Straight	 Author	http://www.thenumerati.net/	 United States	The Numerati	The Numerati|Final Jeopardy: Man vs. Machine and the Quest to Know Everything
Letitia Baldrige	 Letitia Katherine Baldrige	9-Feb	Miami Beach, FL	29-Oct	Bethesda, MD	 unspecified		 Female			 Straight	 Author	http://www.letitia.com/	 United States	 Etiquette columnist	Roman Candle|Tiffany Table Settings|Of Diamonds and Diplomats|Home|Juggling: The Art of Balancing Marriage, Motherhood, and Career|Entertainers|Letitia Baldrige's Complete Guide to Executive Manners|Letitia Baldrige's Complete Guide to a Great Social Life|Letitia Baldrige's Complete Guide to the New Manners for the '90s|Public Affairs, Private Relations|Letitia Baldrige's New Complete Guide to Executive Manners|Letitia Baldrige's More than Manners! Raising Today's Kids to Have Kind Manners and Good Hearts|Legendary Brides: From the Most Romantic Weddings Ever, Inspired Ideas for Today's Brides|A Lady, First: My Life in the White House and the American Embassies of Paris and Rome|Letitia Baldrige's New Manners for New Times: A Complete Guide to Etiquette|Taste: Acquiring What Money Can't Buy
Joseph G. Baldwin	 Joseph Glover Baldwin	 Jan-	Winchester, VA	30-Sep	San Francisco, CA	 unspecified		 Male			 Straight	 Author		 United States	Flush Times of Alabama and Mississippi	The Flush Times of Alabama and Mississippi: A Series of Sketches|Party Leaders: Sketches|The Flush Times of California
J. G. Ballard	 James Graham Ballard	18-Nov	Shanghai, China	19-Apr	Shepperton, Surrey, England	Cancer - unspecified		 Male			 Straight	 Author	http://www.jgballard.com/	 England	Empire of the Sun	The Wind From Nowhere|The Voices of Time|The Terminal Beach|The Drowned World|The Burning World|The Crystal World|The Atrocity Exhibition
James Bamford	 V. James Bamford	15-Sep	Atlantic City, NJ					 Male				 Author		 United States	The Puzzle Palace	The Puzzle Palace: A Report on NSA, America's Most Secret Agency|Body of Secrets: Anatomy of the Ultra-Secret National Security Agency|A Pretext for War: 9/11, Iraq, and the Abuse of America's Intelligence Agencies
Iain Banks	 Iain Menzies Banks	16-Feb	Dunfermline, Fife, Scotland	9-Jun		Cancer - unspecified		 Male			 Straight	 Author	http://www.iainbanks.net/	 Scotland	Consider Phlebas	The Wasp Factory|Walking on Glass|The Bridge|Consider Phleabas|Espedair Street|The Player of Games|Canal Dreams|The State of the Art|Use of Weapons|The Crow Road|Complicity|Feersum Endjinn|Whit|Excession|Inversions|A Song of Stone|The Business|Dead Air
Russell Banks		28-Mar	Newton, MA					 Male			 Straight	 Author		 United States	The Sweet Hereafter	Waiting to Freeze|Snow|Family Life|The New World|Hamilton Stark|The Book of Jamaica|Trailerpark|The Relation of My Imprisonment|Continental Drift|Success Stories|Affliction|The Sweet Hereafter|Rule of the Bone|Cloudsplitter|The Angel on the Roof
Amiri Baraka	 Everett LeRoi Jones	7-Oct	Newark, NJ	9-Jan	Newark, NJ	 unspecified		 Male			 Straight	 Author		 United States	 Hated Whitey	Preface to a Twenty Volume Suicide Note|The System of Dante's Hell|Black Art|Black Music|Black Magic|Selected Plays and Prose|Selected Poetry|The Autobiography of LeRoi Jones / Amiri Baraka|Dutchman|The Slave|The Toilet
R. H. Barlow	 Robert Hayward Barlow	18-May	Leavenworth, KS	2-Jan	 Azcapotzalco, Mexico City, Mexico	Suicide		 Male			Gay	 Author, 		 United States	 Literary executor of H. P. Lovecraft	The Night Ocean|Collapsing Cosmoses|A Dim-Remembered Story
|The Root-Gatherers
|Return by Sunset
|Poems for a Competition|The Battle That Ended the Century|View from a Hill
J. M. Barrie	 James Matthew Barrie	9-May	 Kirriemuir, Angus, Scotland	19-Jun	London, England	Pneumonia	 Buried, Kirriemuir Cemetery, Kirriemuir, Angus, Scotland	 Male			Asexual	 Author		 Scotland	Peter Pan	Auld Licht Idylls|A Window in Thrums|The Little Minister|Sentimental Tommy|Tommy and Grizel|The Little White Bird|Peter and Wendy|Quality Street|The Admirable Crichton|Peter Pan, or the Boy Who Would Not Grow Up|What Every Woman Knows|Dear Brutus|Mary Rose|The Boy David
Donald Barthelme		7-Apr	Philadelphia, PA	23-Jul	Houston, TX	Cancer - Lung		 Male			 Straight	 Author		 United States	Come Back, Dr. Caligari	Come Back, Dr. Caligari|Snow White|City Life|The Slightly Irregular Fire Engine or the Hithering Thithering Djinn|Sadness|The Dead Father|Sixty Stories|Overnight to Many Distant Cities|Paradise|The King
John Bartlett		14-Jun	Plymouth, MA	3-Dec	Cambridge, MA	 unspecified	 Buried, 	 Male			 Straight	 Author		 United States	Bartlett's Familiar Quotations	Familiar Quotations|New Method of Chess Notation|Shakespeare Phrase Book|New and Complete Concordance to Shakespeare's Dramatic Works and Poems
Nicholas Basbanes	 Nicholas A. Basbanes	1943	Lowell, MA					 Male			 Straight	 Author, 	http://www.nicholasbasbanes.com/	 United States	A Gentle Madness	A Gentle Madness: Bibliophiles, Bibliomanes, and the Eternal Passion for Books|Patience & Fortitude: A Roving Chronicle of of Book People, Book Places, and Book Culture|Among The Gently Mad: Perspectives and Strategies for the Book-Hunter in the Twenty-First Century|A Splendor of Letters: The Permanence of Books in an Impermanent World|Every Book Its Reader: The Power Of The Printed Word To Stir The World
Greg Bear		20-Aug	San Diego, CA					 Male			 Straight	 Author	http://www.gregbear.com/	 United States	Eon	Hegira|Psyclone|Beyond Heaven's River|The Wind from a Burning Woman|Tangents|Eon|Blood Music|The Forge of God|Eternity|Queen of Angels|Anvil of Stars|Moving Mars|Foundation and Chaos: The Second Foundation Trilogy|Dinosaur Summer|Darwin's Radio|Vitals|Dead Lines|Darwin's Children
Ann Beattie		8-Sep	Washington, DC					 Female			 Straight	 Author		 United States	Chilly Scenes of Winter	Distortions|Chilly Scenes of Winter|Secrets and Surprises|Falling in Place|The Burning House|Picturing Will|What Was Mine|Where You'll Find Me|Another You|My Life, Starring Dara Falcon|Convergences|Park City
Pierre Beaumarchais	 Pierre-Augustin Caron Caron de Beaumarchais	24-Jan	Paris, France	18-May	Paris, France	 unspecified	 Buried, 	 Male			 Straight	 Author, 		 France	The Barber of Seville	
William Thomas Beckford		1-Oct	 Fonthill, Wiltshire, England	2-May	 Landsdowne Hill, England	 unspecified		 Male			Bisexual	 Author		 England	History of the Caliph Vatheck	
Edward Bellamy		26-Mar	 Chicopee Falls, MA	22-May	 Chicopee Falls, MA	Tuberculosis		 Male			 Straight	 Author		 United States	Looking Backward	Dr. Heidenhoff's Process|Miss Ludington's Sister|Looking Backward: 2000—1887|Equality|The Duke of Stockbridge
Donald P. Bellisario	 Donald Paul Bellisario	8-Aug	North Charleroi, PA					 Male			 Straight	 Author		 United States	 Wrote 	
Hilaire Belloc	 Joseph-Pierre Hilaire Belloc	27-Jul	 La Celle-Saint-Cloud, France	16-Jul	Guildford, Surrey, England	 unspecified	 Buried, Our Lady of Consolation and St. Francis Churchyard, West Grinstead, West Sussex, England	 Male	Roman Catholic		 Straight	 Author, 		 England	The Bad Child's Book of Beasts	Verses and Sonnets|The Bad Child's Book of Beasts|The Modern Traveller|Danton|Lambkin's Remains|Robespierre|The Path to Rome|Mr. Burden|Cautionary Tales for Children|On Nothing|On Everything|On Anything|The Four Men|Europe and the Faith|The Cruise of the "Nona"|History of England|James II|Wolsey|Heroic Poem in Praise of Wine
Andrei Bely	 Boris Nikolaevich Bugaev	26-Oct	Moscow, Russia	8-Jan	Moscow, Russia	 unspecified	 Buried, 	 Male			 Straight	 Author		 Russia	Petersburg	
Robert Benchley	 Robert Charles Benchley	15-Sep	Worcester, MA	21-Nov	New York City	 Cerebral Hemorrhage	 Buried, Prospect Hill Cemetery, Nantucket, MA	 Male			 Straight	 Author, 		 United States	 Humorist and screenwriter	Of All Things|Love Conquers All|From Bed to Worse|My Ten Years in a Quandary and How They Grew|Inside Benchley|Benchley Beside Himself
Brian Michael Bendis		18-Aug	Cleveland, OH					 Male			 Straight	 Author	http://www.jinxworld.com/	 United States	Ultimate Spider-Man	
Stephen Vincent Benét		22-Jul	Bethlehem, PA	13-Mar	New York City	 Heart Failure	 Buried, Evergreen Cemetery, Stonington, CT	 Male			 Straight	 Author, 		 United States	John Brown's Body	A Ballad of William Sycamore|Jean Huguenot|The Spanish Bayonet|John Brown's Body|Ballads and Poems, 1915-30|The Devil and Daniel Webster|Western Star
Gwendolyn Bennett	 Gwendolyn B. Bennett	8-Jul	Giddings, TX	30-May	Reading, PA	 unspecified		 Female				 Author		 United States	 Harlem Renaissance writer	
Mildred Wirt Benson	 Mildred Augustine	10-Jul	Ladora, IA	28-May	Toledo, OH	Cancer - Lung	 Buried, Toledo Memorial Park, Sylvania, OH	 Female			 Straight	 Author		 United States	 Ghostwriter of the Nancy Drew mystery series	
Charles Berlitz	 Charles Frambach Berlitz	20-Nov	New York City	18-Dec	Tamarac, FL	 unspecified		 Male			 Straight	 Author, Business		 United States	 Language lessons and specultive non-fiction	The Mystery of Atlantis|Mysteries from Forgotten Worlds|Passport to French |The Bermuda Triangle|Dictionary of foreign terms|Without a Trace:New Information from the Triangle|The Philadelphia Experiment: Project Invisibility|German Step-by-Step|Italian Step-by-Step|The Roswell Incident|Doomsday 1999 A.D.|Native Tongues|Atlantis: The Lost Continent Revealed|Passport to Japanese|English Step-by-Step|Passport to French|Passport to German|Passport to Italian|The Lost Ship of Noah: In Search of the Ark at Ararat|Charles Berlitz's World of Strange Phenomena|Passport to Chinese|The Dragon's Triangle|Spanish Step-by-Step|Around the World in 80 Words|Charles Berlitz's World of the Odd and the Awesome|Charles Berlitz's World of the Incredible but True|Passport to Spanish|Passport to the World|Learn German
Daniel Berrigan	 Daniel J. Berrigan	9-May	Virginia, MN	30-Apr	New York City	 unspecified		 Male	Roman Catholic		 Straight	 Author		 United States	The Trial of the Catonsville Nine	Time Without a Number|Night Flight to Hanoi|The Trial of the Catonsville Nine|Prison Poems|We Die Before We Live|To Dwell in Peace
Wendell Berry	 Wendell Erdman Berry	5-Aug	 Port Royal, KY					 Male			 Straight	 Author		 United States	A Place on Earth	Nathan Coulter|The Broken Ground|A Place on Earth|The Long-Legged House|The Hidden Wound|Farming: A Handbook|The Unforeseen Wilderness: An Essay on Kentucky's Red River Gorge|The Memory of Old Jack|The Unsettling of America|The Gift of Good Land|Standing by Words|The Collected Poems: 1957-1982|The Wild Birds: Six Stories of the Port William Membership|Home Economics|Remembering|Sabbaths|What Are People For?|Fidelity|Sex, Economy, Freedom, and Community|Watch with Me|Another Turn of the Crank|A World Lost|Two More Stories Of The Port William Membership|Life is a Miracle: An Essay Against Modern Superstition|Jayber Crow|That Distant Land: The Collected Stories of Wendell Berry|Hannah Coulter
Pierre Berton	 Pierre Francis de Marigny Berton	12-Jul	 Dawson City, Yukon Territory, Canada	30-Nov	Toronto, Ontario, Canada	 Heart Failure	 Cremated (ashes scattered)	 Male			 Straight	 Author, TV Personality, 		 Canada	 Canadian writer and TV personality	The Royal Family|The Mysterious North|Klondike: The Last Great Gold Rush|Just Add Water and Stir|Adventures of a Columnist|Fast, Fast, Fast Relief|The Big Sell|The Comfortable Pew|The Cool, Crazy, Committed World of the Sixties|The Smug Minority|The National Dream: The Great Railway 1871-1881|The Last Spike:The Great Railway 1881-1885|Drifting Home|Hollywood's Canada|My Country|The Dionne Years: A Thirties Melodrama|The Wild Frontier: More Tales from the Remarkable Past|The Invasion of Canada - 1812-1813|Flames Across the Border - 1813-1814|Why We Act Like Canadians|The Promised Land|Vimy|Starting Out: 1920-1947|The Arctic Grail|The Great Depression 1929-1939|Niagara, A History of the Falls|My Times: Living with History 1917-1995|Farewell to the 20th Century: A Compendium of the Absurd|The Great Lakes|1967: The Last Good Year|Marching as to War: Canada's Turbulent Years, 1899-1953|The Secret World of Og|Prisoners of the North
Sir Walter Besant	 Walter Besant	14-Aug	Portsmouth, England	9-Jun	 Hampstead, England	 unspecified		 Male				 Author		 England	All Sorts and Conditions of Men	
Doris Betts	 Doris June Waugh	4-Jun	Statesville, NC	21-Apr	Pittsboro, NC	Cancer - Lung		 Female			 Straight	 Author		 United States	Souls Raised from the Dead	The Gentle Insurrection|Tall Houses in Winter|The Scarlet Thread|The Astronomer and Other Stories|The River to Pickle Beach|Beasts of the Southern Wild and Other Stories|Heading West|Souls Raised from the Dead|The Sharp Teeth of Love
Hakim Bey	 Peter Lamborn Wilson	1945	New York City					 Male	 Pagan		Gay	 Author, 		 United States	 Temporary Autonomous Zone	Science and Technology in Islam|Angels|Loving Boys|Crowstone: The Chronicles of Qamar|CHAOS: The Broadsheets of Ontological Anarchism|Scandal: Essays in Islamic Heresy|TAZ: The Temporary Autonomous Zone, Ontological Anarchy, Poetic Terrorism|Immediatism|Aimless Wandering: Chuang Tzu's Chaos Linguistics|Sacred Drift: Essays on the Margins of Islam|The Little Book of Angel Wisdom|O Tribe That Loves Boys: The Poetry of Abu Nuwas|Pirate Utopias: Moorish Corsairs & European Renegadoes|Millennium|Escape from the Nineteenth Century|Ploughing the Clouds: The Search for Irish Soma|rain queer|Gothick Institutions
Ambrose Bierce	 Ambrose Gwinnett Bierce	24-Jun	 Horse Cave Creek, OH	 c. 	Mexico	 unspecified	 Missing	 Male	Atheist		 Straight	 Author, 		 United States	The Devil's Dictionary	The Fiend's Delight|Nuggets and Dust Panned Out in California|Cobwebs from an Empty Skull|Tales of Soldiers and Civilians|Can Such Things Be?|The Devil's Dictionary
John Bigelow		25-Nov	 Bristol, NY	19-Dec	New York City	 unspecified	 Buried, Peacedale Cemetery, Highland Falls, NY	 Male			 Straight	 Author, 		 United States	 Ambassador to France, memoirist	France and the Confederate Navy, 1862–1868|The Mystery of Sleep|Retrospections of an Active Life
Poultney Bigelow		10-Sep	New York City	28-May	Saugerties, NY	 unspecified		 Male			 Straight	 Author		 United States	The German Struggle for Liberty	The German Emperor and his Eastern Neighbors|Borderland of Czar and Kaiser|History of the German Struggle for Liberty|White Man's Africa|Children of the Nations|Prussianism and Pacifism|Japan and Her Colonies|Seventy Summers
Green Bar Bill	 Vilhelm Bjerregaard Jenson	6-Aug	Aarhus, Denmark	9-Nov	Stockholm, Sweden	 unspecified	 Buried, St. Joseph's Cemetery, Mendham, NJ	 Male			 Straight	 Author		 United States	 Prominent Scouter	
Josh Billings	 Henry Wheeler Shaw	21-Apr	 Lanesboro, MA	14-Oct	Monterey, CA	 unspecified		 Male				 Author		 United States	 19th century American humorist	Josh Billings on Ice, And Other Things|Josh Billings: His Sayings|Josh Billings Farmer's Allminax|Everybody's Friend|Josh Billings: His Works, Complete|Old Probability: Perhaps Rain-Perhaps Not|Josh Billings Struggles with Things
Susan Blackmore	 Susan Jane Blackmore	29-Jul	London, England					 Female	Atheist		 Straight	 Author, 	http://www.susanblackmore.co.uk/	 England	The Meme Machine	Beyond the Body: An Investigation into Out-of-Body Experiences|Dying to Live: Science and the Near Death Experience|Test Your Psychic Powers|The Meme Machine|Consciousness: An Introduction
William Peter Blatty		7-Jan	New York City					 Male	Roman Catholic		 Straight	 Author, 		 United States	The Exorcist	Which Way to Mecca, Jack?|John Goldfarb, Please Come Home!|Twinkle, Twinkle, "Killer" Kane|I, Billy Shakespeare|The Exorcist|I'll Tell Them I Remember You|William Peter Blatty on The exorcist: From Novel to Film|The Ninth Configuration|Legion|Demons Five, Exorcists Nothing|Elsewhere|Crazy|Dimiter|The Redemption
H. P. Blavatsky	 Helena Petrovna Blavatsky	12-Aug	 Dnepropetrovsk, Ukraine	8-May	London, England	Influenza	 Cremated, Theosophical Society Adyar, Chennai, India	 Female	Cult		 Straight	 Author, 	http://www.blavatsky.net/	 Russia	 Founded Theosophy; 	Isis Unveiled|The Secret Doctrine|The Voice of Silence|Key to Theosophy
